Date,Open,High,Low,Close,Volume
2024-01-02,20.6,22.0,20.6,21.0,1083.8
2024-01-03,21.0,21.0,20.6,20.8,1970.5
2024-01-04,20.8,20.8,20.0,20.1,1289.0
2024-01-05,20.0,20.0,18.0,18.7,1278.6
2024-01-08,18.0,18.7,18.0,18.4,641.6
2024-01-09,18.6,18.79,18.4,18.6,531.1
2024-01-10,18.5,18.5,17.8,18.0,645.9000000000001
2024-01-11,17.9,21.9,17.9,19.0,2837.3
2024-01-12,19.0,19.4,17.0,17.5,2495.5
2024-01-16,17.5,17.5,16.6,16.6,1172.5
2024-01-17,16.62,16.62,16.0,16.0,2114.6
2024-01-18,16.22,16.7,15.1,15.8,1557.4
2024-01-19,15.0,15.7,13.201,13.501,5333.200000000001
2024-01-22,14.0,14.1,13.4,13.8,3345.4
2024-01-23,13.4,17.45,13.4,16.4,4174.0
2024-01-24,17.5,18.3,17.1,17.8,2150.0
2024-01-25,17.1,17.6,15.0,15.15,5813.6
2024-01-26,15.3,17.0,14.8,14.801,2822.0
2024-01-29,14.9,15.6,14.9,15.2,883.4000000000001
2024-01-30,15.2,15.9,15.1,15.4,3090.6000000000004
2024-01-31,15.2,15.2,14.7,14.8,965.2
2024-02-01,15.3,15.8,15.0,15.001,1722.5
2024-02-02,15.2,15.5,15.0,15.1,1798.0
2024-02-05,15.187,15.3,14.2,15.0,2667.7000000000003
2024-02-06,15.048,15.4,14.6,14.9,1392.3000000000002
2024-02-07,14.554,15.0,14.5,14.6,958.0
2024-02-08,13.8,14.9,13.8,14.75,1962.0
2024-02-09,15.0,15.4,14.9,15.2,1288.5
2024-02-12,15.1,15.242,14.8,14.8,407.8
2024-02-13,15.0,15.0,14.9,15.0,103.4
2024-02-14,15.032,15.3,15.0,15.1,1209.4
2024-02-15,15.1,15.3,14.7,15.1,1412.1
2024-02-16,14.8,15.3,14.8,14.9,302.3
2024-02-20,15.1,15.3,15.1,15.3,758.5
2024-02-21,15.4,17.1,15.4,16.7,3428.3
2024-02-22,17.0,18.0,17.0,17.6,1412.1
2024-02-23,15.5,17.5,15.5,17.2,613.4
2024-02-26,16.5,17.1,16.5,16.9,535.5
2024-02-27,16.7,16.882,16.1,16.1,1239.4
2024-02-28,16.0,16.0,15.4,15.55,2026.5
2024-02-29,15.3,15.39,15.2,15.2,438.2000000000001
2024-03-01,16.2,17.1,15.924,16.1,947.0
2024-03-04,16.4,16.8,16.111,16.246,904.9
2024-03-05,16.2,17.1,16.2,16.8,339.6
2024-03-06,17.0,17.1,17.0,17.1,212.3
2024-03-07,17.1,17.1,16.5,16.55,813.2
2024-03-08,15.7,16.9,15.6,16.5,395.4
2024-03-11,16.5,16.5,16.3,16.3,260.5
2024-03-12,16.3,16.4,16.3,16.3,187.9
2024-03-13,16.378,16.5,16.1,16.1,736.5
2024-03-14,16.5,16.5,16.2,16.2,496.2000000000001
2024-03-15,16.4,17.6,16.4,17.6,3438.4
2024-03-18,17.6,18.5,17.6,17.8,4933.200000000001
2024-03-19,17.6,18.3,17.6,17.9,996.0
2024-03-20,17.6,18.4,17.6,18.044,1913.4
2024-03-21,18.25,18.4,17.9,17.9,1890.6
2024-03-22,17.748,17.748,17.0,17.7,516.8000000000001
2024-03-25,17.1,17.1,16.7,16.7,250.4
2024-03-26,16.0,16.9,15.898,16.8,668.6
2024-03-27,15.801,16.7,15.801,16.7,174.20000000000002
2024-03-28,16.5,16.5,15.9,15.9,347.0
2024-04-01,15.6,17.0,15.3,15.4,2211.4
2024-04-02,15.7,15.8,15.4,15.8,618.1
2024-04-04,15.6,16.399,15.5,16.0,329.8
2024-04-05,15.95,16.0,15.67,15.7,797.6
2024-04-08,16.1,16.1,15.9,15.9,116.3
2024-04-09,15.7,15.8,15.5,15.65,260.8
2024-04-10,16.293,16.293,15.95,15.95,49.400000000000006
2024-04-11,15.5,16.019,15.22,15.9,972.7
2024-04-12,15.0,15.5,15.0,15.1,244.7
2024-04-15,15.0,15.09,15.0,15.09,281.0
2024-04-16,15.0,15.0,13.9,14.1,715.8000000000001
2024-04-17,12.7,14.599,12.7,14.0,1477.4
2024-04-18,14.426,14.426,14.0,14.0,273.3
2024-04-19,14.0,15.117,14.0,14.9,209.9
2024-04-22,14.9,15.7,14.017,14.354,200.1
2024-04-23,14.1,14.1,13.1,13.35,1256.6
2024-04-24,13.6,14.2,13.3,13.6,1121.1
2024-04-25,13.6,14.4,13.0,13.85,618.0
2024-04-26,14.4,14.8,14.1,14.1,334.3
2024-04-29,13.9,13.9,13.9,13.9,53.6
2024-04-30,13.7,13.9,13.5,13.5,317.70000000000005
2024-05-01,13.9,13.9,13.3,13.5,231.0
2024-05-03,13.7,13.7,13.5,13.5,79.10000000000001
2024-05-06,13.0,14.0,13.0,13.5,223.0
2024-05-07,13.54,13.8,13.5,13.5,295.8
2024-05-08,13.2,13.65,13.2,13.4,198.2
2024-05-09,13.4,13.4,13.4,13.4,79.2
2024-05-10,13.2,13.4,13.2,13.4,182.0
2024-05-13,13.7,13.7,13.0,13.3,842.0
2024-05-14,13.0,13.001,12.4,12.899,757.9000000000001
2024-05-15,12.0,13.0,12.0,12.899,913.6
2024-05-16,13.8,13.8,12.2,12.8,727.5
2024-05-17,12.011,12.4,12.0,12.0,1344.4
2024-05-20,11.4,12.1,11.337,11.9,435.7000000000001
2024-05-21,12.55,14.4,12.3,12.3,1283.0
2024-05-22,12.31,13.0,12.3,13.0,347.5
2024-05-23,13.4,13.4,12.05,12.557,909.4
2024-05-24,11.9,11.987,11.8,11.987,854.3000000000001
2024-05-28,11.799,11.799,11.5,11.5,669.1
2024-05-29,11.5,11.9,11.303,11.6,341.8
2024-05-30,11.9,12.084,11.6,11.6,758.2
2024-05-31,11.9,11.9,11.5,11.9,218.1
2024-06-03,11.543,12.0,11.543,12.0,447.8
2024-06-04,12.0,12.0,11.5,11.5,309.8
2024-06-05,12.2,12.2,11.3,11.68,1314.9
2024-06-06,10.7,12.05,10.7,11.3,1150.7
2024-06-07,10.8,12.0,10.8,11.7,1090.9
2024-06-10,11.1,13.2,11.1,12.9,1035.0
2024-06-11,12.2,16.6,12.2,14.8,3169.4
2024-06-12,14.4,16.4,13.5,14.5,5591.200000000001
2024-06-13,14.0,14.489,13.3,13.4,662.2
2024-06-14,13.5,13.9,13.1,13.1,250.2
2024-06-17,12.8,13.4,12.8,12.929,436.3
2024-06-18,12.8,13.3,12.0,12.6,1989.7
2024-06-20,12.9,13.0,12.0,12.0,735.1
2024-06-21,12.3,12.4,12.2,12.4,627.3000000000001
2024-06-24,12.39,12.39,12.0,12.0,763.3000000000001
2024-06-25,12.3,12.4,11.9,11.9,245.5
2024-06-26,12.1,12.1,11.5,11.6,1237.4
2024-06-27,14.168,14.3,12.1,12.1,104.9
2024-06-28,12.1,12.5,12.0,12.5,142.70000000000002
2024-07-01,12.5,13.7,12.5,13.7,52.3
2024-07-02,12.25,12.4,11.1,11.1,363.2000000000001
2024-07-03,13.7,13.7,11.352,12.866,473.2000000000001
2024-07-05,12.168,12.168,11.7,11.9,306.1
2024-07-08,12.0,12.0,11.4,11.693,1181.4
2024-07-09,11.4,11.5,11.0,11.095,1962.6
2024-07-10,11.1,11.1,10.4,10.4,1404.7
2024-07-11,10.9,10.9,10.2,10.2,412.0
2024-07-12,11.206,11.206,9.39,10.9,1605.4
2024-07-15,10.6,11.8,10.1,10.1,1382.3000000000002
2024-07-16,10.5,10.7,10.2,10.7,201.4
2024-07-17,10.8,10.8,10.8,10.8,89.30000000000001
2024-07-18,10.2,10.296,10.0,10.1,1717.2
2024-07-19,12.5,12.5,9.8,9.8,2713.8
2024-07-22,9.801,9.801,9.3011,9.5,865.5
2024-07-23,9.5,9.5,9.0,9.0,817.6
2024-07-24,9.4,9.498,9.4,9.498,228.5
2024-07-25,9.1,9.498,9.0,9.496,546.8000000000001
2024-07-26,9.5,9.5,9.001,9.497,143.5
2024-07-29,9.496,9.496,9.001,9.496,424.7000000000001
