Date,Open,High,Low,Close,Volume
2024-01-02,1.6,1.76,1.6,1.69,113167
2024-01-03,1.7,1.745,1.63,1.63,70836
2024-01-04,1.61,1.665,1.6,1.64,33866
2024-01-05,1.62,1.67,1.6,1.6,65230
2024-01-08,1.62,1.625,1.57,1.6,94943
2024-01-09,1.62,1.64,1.56,1.57,96104
2024-01-10,1.62,1.67,1.58,1.67,116301
2024-01-11,1.69,1.74,1.62,1.72,185389
2024-01-12,1.68,1.76,1.68,1.72,92400
2024-01-16,1.72,1.83,1.7002,1.8,159104
2024-01-17,1.78,1.82,1.76,1.805,108132
2024-01-18,1.78,1.9,1.78,1.87,168307
2024-01-19,1.87,1.93,1.8501,1.875,90625
2024-01-22,1.88,1.9271,1.85,1.88,215741
2024-01-23,1.91,1.93,1.82,1.87,153313
2024-01-24,1.85,1.89,1.81,1.83,38072
2024-01-25,1.87,1.87,1.77,1.78,54605
2024-01-26,1.8,1.805,1.72,1.785,49756
2024-01-29,1.84,1.84,1.69,1.72,131820
2024-01-30,1.69,1.72,1.68,1.69,48952
2024-01-31,1.68,1.7,1.67,1.69,54380
2024-02-01,1.7,1.7,1.65,1.67,62584
2024-02-02,1.6574,1.68,1.61,1.63,144352
2024-02-05,1.65,1.6596,1.62,1.64,63638
2024-02-06,1.64,1.6577,1.61,1.62,58181
2024-02-07,1.64,1.64,1.61,1.61,49054
2024-02-08,1.61,1.6498,1.585,1.62,75767
2024-02-09,1.62,1.6562,1.61,1.63,39957
2024-02-12,1.61,1.63,1.61,1.615,99784
2024-02-13,1.6,1.63,1.59,1.59,175985
2024-02-14,1.65,1.6984,1.61,1.64,247293
2024-02-15,1.63,1.655,1.61,1.62,118117
2024-02-16,1.61,1.64,1.61,1.63,191604
2024-02-20,1.61,1.63,1.61,1.61,147642
2024-02-21,1.62,1.63,1.6,1.61,150832
2024-02-22,1.61,1.6101,1.58,1.59,88389
2024-02-23,1.58,1.61,1.58,1.58,69847
2024-02-26,1.58,1.61,1.58,1.58,46651
2024-02-27,1.58,1.61,1.58,1.6,83021
2024-02-28,1.6,1.62,1.6,1.61,72228
2024-02-29,1.67,1.67,1.59,1.61,116330
2024-03-01,1.59,1.635,1.59,1.61,57461
