symbol,date,prev_close,rth_open,gap_pct,long_ret,short_ret,short_eod,rth_close,intraday_high_x_open
ABTS,2025-05-09,2.3299999237060547,2.46,0.055794025987421225,0.05032520325203249,-0.03861788617886197,-2.4227642276422765,8.42,3.821138211382114
ABTS,2026-02-20,2.0,2.15,0.07499999999999996,-0.03,-0.03,-0.7349302325581397,3.7301,2.558139534883721
ABTS,2026-06-01,0.9919999837875366,1.58,0.5927419615143859,-0.03,0.05,-0.35443037974683544,2.14,2.0443037974683542
AEHL,2025-11-24,7.260000228881836,7.86,0.08264459396726154,0.05,-0.03,-0.9236641221374045,15.12,2.2900763358778624
AEHL,2026-02-26,3.119999885559082,4.4166,0.4155769749999769,0.05,-0.03,-0.4671919576144547,6.48,2.3638092650455103
AEHL,2026-05-12,1.4299999475479126,1.225,-0.14335661193515103,0.05,-0.03,-0.7142040816326528,2.0999,2.0653061224489795
AGPU,2026-04-01,1.6200000047683716,1.85,0.1419753052806405,-0.032432432432432434,-0.03,-0.9243243243243242,3.56,2.254054054054054
AIIO,2026-03-31,1.7200000286102295,1.618,-0.05930234122882316,-0.03,0.05,-0.2991347342398021,2.102,1.30778739184178
AIIO,2026-05-14,2.609999895095825,4.385,0.6800766958800992,-0.03,0.05,-0.2862029646522235,5.64,2.0980615735461803
AIMD,2025-01-10,2.865000009536743,3.76,0.31239092058780615,-0.03,0.05,0.027526595744680832,3.6565,1.3297872340425532
AIMD,2025-08-06,2.3299999237060547,3.065,0.3154506868501814,0.05,-0.03,-0.06035889070146821,3.25,1.46815660685155
AIMD,2026-05-26,1.5299999713897705,1.53,1.8699496839857943e-08,-0.03862745098039211,-0.03267973856209161,-1.0718300653594772,3.1699,2.5358823529411767
AIXI,2026-04-07,0.8040000200271606,22.2,26.611939610710508,0.05,-0.03,-0.7477477477477477,38.8,2.441441441441442
ALLO,2025-02-18,2.0399999618530273,2.165,0.061274529649220755,0.05,-0.03,-0.31870669745958424,2.855,1.7367205542725173
ALVO,2024-10-17,12.399999618530272,9.15,-0.2620967514929232,0.05,-0.03,-0.3573770491803278,12.42,1.3595628415300545
ANTX,2026-03-09,2.8499999046325684,3.02,0.05964915826526962,0.05,-0.03,-0.7417218543046357,5.26,2.2880463576158943
APPS,2025-02-06,2.5399999618530273,3.2,0.25984253860597595,0.05,-0.03,-0.55625,4.98,1.603125
AREC,2025-04-17,1.1100000143051147,1.255,0.13063061605963888,0.05,-0.03,-0.027888446215139556,1.29,1.3386454183266934
ARTL,2026-03-27,3.190000057220459,7.99,1.5047021494294022,-0.03,0.05,-0.3153942428035043,10.51,2.491852315394243
ARTV,2025-04-07,2.440000057220459,2.29,-0.06147543184541249,-0.03,-0.03,-0.44978165938864617,3.32,2.161572052401747
ARTV,2026-04-16,9.100000381469728,8.98,-0.013186854553773886,0.05,-0.03,-0.3535634743875277,12.155,1.3830734966592426
ATRA,2025-01-16,13.15999984741211,6.7,-0.4908814530634251,0.05,-0.03,-0.1641641791044776,7.7999,1.3417910447761194
AVR,2026-01-20,5.110000133514404,4.99,-0.02348339146360723,0.05210420841683372,-0.04208416833667328,-0.14829659318637278,5.73,1.3266533066132264
BIRD,2026-04-15,2.490000009536743,6.82,1.7389558128029248,-0.03,-0.03,-1.4838709677419355,16.94,3.5645161290322576
BNRG,2026-04-22,3.25,3.28,0.009230769230769154,0.05,-0.03,-0.2682926829268294,4.16,1.326219512195122
BRAI,2026-02-25,4.599999904632568,4.43,-0.03695650177326415,0.10006772009029352,-0.10006772009029352,-0.8893905191873589,8.37,2.431896162528217
BRAI,2026-03-03,5.453332901000977,5.1667,-0.05256104958279084,0.19095360675092432,-0.19095360675092432,-0.8335301062573791,9.4733,2.064509261230573
BRAI,2026-03-17,6.880000114440918,6.7067,-0.025188969703236808,0.05715180342046011,-0.043732387015969154,-0.3031744375027958,8.74,1.4920452681646712
BRAI,2026-05-26,7.170000076293945,8.62,0.20223150743054585,0.05,-0.03,-0.448955916473318,12.49,2.15661252900232
BTCS,2024-11-12,1.8592034578323364,1.88,0.011185726919801686,-0.031914893617021156,-0.03,-0.541968085106383,2.8989,2.3457446808510642
BTCS,2025-07-08,2.769026517868042,3.015,0.08883030933244385,0.05,-0.03,-0.9526699834162519,5.8873,2.053067993366501
BZAI,2026-03-26,1.2400000095367432,1.22,-0.016129039824939295,0.05,-0.03,-0.43442622950819676,1.75,1.459016393442623
CCLD,2024-06-24,1.7100000381469729,1.6,-0.06432750625325911,0.05624999999999991,-0.05624999999999991,-0.17499999999999988,1.88,1.3187499999999999
CING,2024-07-10,4.464000225067139,4.5,0.008064465304170154,0.05,-0.03,-0.5989333333333333,7.1952,2.0
CING,2024-08-12,2.444999933242798,2.11,-0.1370142913658441,0.05,-0.03,-0.3507582938388626,2.8501,1.6113744075829384
CLNN,2024-06-07,7.0,7.0,0.0,0.05,-0.03,-0.04285714285714283,7.3,1.3142857142857143
CNCK,2025-12-01,3.240000009536743,3.64,0.12345678681663008,-0.03,0.05,-1.1538461538461535,7.84,2.557692307692308
CODX,2026-01-14,2.359999895095825,2.63,0.1144068291974274,-0.03,0.05,-0.27376425855513314,3.35,1.3269961977186313
CODX,2026-05-21,2.390000104904175,3.15,0.31799157394861144,0.05,-0.03,-0.1777777777777778,3.71,1.438063492063492
CRE,2026-03-06,2.619999885559082,3.75,0.4312977724423783,-0.03,0.05,-0.21330666666666667,4.5499,1.312
DGNX,2025-01-28,9.420000076293944,8.68,-0.07855627073254523,-0.032258064516129004,-0.03686635944700467,-0.7764976958525346,15.42,2.0506912442396317
DXST,2026-02-11,4.324999809265137,4.3925,0.01560698120500792,0.05,-0.03,-0.767785998861696,7.765,2.577120091064314
DXST,2026-03-04,2.0250000953674316,2.9275,0.4456789442613889,-0.03,0.05,-0.7566182749786506,5.1425,2.5183603757472244
DXST,2026-03-06,3.825000047683716,4.0025,0.046405215713336334,0.05,-0.03,-0.7489069331667706,7.0,2.31105559025609
DXST,2026-03-10,6.625,7.4,0.11698113207547167,0.05,-0.03,-0.3344594594594594,9.875,1.652027027027027
EDSA,2026-03-06,3.609999895095825,3.64,0.008310278608298471,0.05,-0.03,-0.7939560439560439,6.53,2.041208791208791
EEIQ,2025-07-09,6.71999979019165,6.7248,0.0007143169580683395,0.3083511777301928,-0.3083511777301928,-0.45134427789674036,9.76,2.1889126814180346
EEIQ,2026-03-26,2.7300000190734863,4.79,0.7545787423201709,-0.03,-0.03,-0.7578288100208768,8.42,2.6513569937369517
ELAB,2026-04-01,5.989999771118164,7.0,0.1686144019156277,-0.03,-0.03,-0.7814285714285715,12.47,1.8357142857142856
EQ,2025-12-11,1.0700000524520874,1.09,0.018691538848133238,-0.03,-0.03,-0.2201834862385321,1.33,1.3211009174311925
ERNA,2026-05-12,7.210000038146973,7.46,0.03467405832598014,-0.03,-0.03,-0.6099195710455764,12.01,2.128686327077748
EVTV,2025-09-12,2.75,2.73,-0.0072727272727273196,0.056996336996337105,-0.03516483516483526,-0.5073260073260074,4.115,1.6263736263736266
EVTV,2026-01-12,0.4629999995231628,1.15,1.4838012984543605,-0.03,-0.03,-1.1575652173913045,2.4812,2.2782608695652176
FATN,2025-05-16,9.3100004196167,9.22,-0.009667069340519308,0.05,-0.04325379609544466,-0.18872017353579176,10.96,1.3429501084598696
FOFO,2026-06-01,2.0999999046325684,2.14,0.019047665325694574,0.06074766355140171,-0.04205607476635498,-0.39719626168224303,2.99,2.4999999999999996
FOXX,2025-01-30,2.890000104904175,2.92,0.010380586161542693,0.06678082191780832,-0.06678082191780832,-1.1763698630136987,6.355,3.767123287671233
FOXX,2025-11-21,2.0209999084472656,2.15,0.06382983542628917,0.06976744186046502,-0.06976744186046502,-0.6395348837209303,3.525,2.2186046511627904
GDRX,2025-10-09,4.389999866485596,4.45,0.013667456797085809,0.05,-0.03,-0.040449438202247126,4.63,1.3055955056179775
GNTA,2025-07-01,3.0450000762939453,2.86,-0.06075536015063365,-0.03,-0.03,-0.21538461538461542,3.476,1.2153846153846155
GOVX,2026-05-06,1.4199999570846558,1.435,0.01056341082301171,-0.03135888501742168,-0.03,-0.1463414634146341,1.645,1.3937282229965156
GSIT,2025-10-20,5.079999923706055,7.5,0.4763779749288781,0.05,-0.03,-0.7313333333333333,12.985,2.42
GXAI,2024-09-20,2.3399999141693115,2.395,0.023504311046187887,0.05,-0.03,-0.016450939457202548,2.4344,1.8580375782881002
GXAI,2024-12-10,4.079999923706055,3.74,-0.08333331619212792,-0.03,-0.03,-0.35294117647058804,5.06,2.0053475935828877
HCWB,2026-05-20,1.059999942779541,1.04,-0.018867871565254046,0.05,-0.03,-1.3269230769230769,2.42,3.8365384615384617
HEPS,2025-12-19,2.4000000953674316,2.41,0.004166626764670056,0.05,-0.03,-0.34439834024896265,3.24,1.3817427385892116
HOLO,2025-05-28,6.039999961853027,5.73,-0.05132449731968558,0.05,-0.03,-0.8123909249563698,10.385,2.06282722513089
HTCO,2025-08-25,7.894999980926514,7.92,0.0031665635381739055,0.05050505050505061,-0.03,-0.27904040404040414,10.13,1.3118686868686869
HTCO,2026-05-04,7.900000095367432,9.2,0.1645569479669866,-0.03,0.05,0.20326086956521733,7.33,1.5250000000000001
HURA,2025-08-11,2.299999952316284,2.33,0.013043499263338365,0.05,-0.03,-0.30257510729613735,3.035,1.351931330472103
IFRX,2026-04-17,1.2000000476837158,1.2,-3.973642825894075e-08,0.050000000000000044,-0.03333333333333344,-0.3167500000000001,1.5801,1.3916666666666666
IMDX,2026-05-14,5.099999904632568,5.135,0.006862763925865822,-0.03,-0.030185004868549248,-0.25413826679649476,6.44,1.3145082765335931
INDP,2025-09-26,3.2799999713897705,3.26,-0.006097552306165599,0.05,-0.033742331288343586,-0.07668711656441718,3.51,2.628834355828221
INDP,2025-10-02,3.5,3.43,-0.019999999999999907,0.05,-0.036443148688046545,-0.04373177842565595,3.58,1.3119533527696792
INDP,2026-06-04,2.2100000381469727,2.14,-0.031674224859138844,0.05,-0.032710280373831724,-1.219626168224299,4.75,2.785
IVVD,2025-02-05,1.25,1.17,-0.06400000000000006,-0.03,0.05,-0.7949572649572649,2.1001,2.0
JZXN,2026-05-13,1.190000057220459,1.16,-0.025210130905818362,0.05,-0.03,0.017241379310344845,1.14,1.387931034482759
JZXN,2026-06-01,1.159999966621399,1.17,0.008620718677886607,0.05,-0.03,-0.12820512820512833,1.32,2.017094017094017
LAES,2024-12-16,1.75,2.63,0.5028571428571429,-0.03,0.05,0.06844106463878316,2.45,1.3155893536121674
LASE,2024-10-08,4.320000171661377,4.16,-0.037037075301745714,0.05,-0.03,-0.9038461538461537,7.92,2.2644230769230766
LASE,2026-06-02,0.9279999732971193,1.205,0.2984914166739887,-0.03,0.05,-1.016597510373444,2.43,2.0497925311203318
LESL,2026-05-14,1.4299999475479126,1.84,0.2867133339096506,-0.03,0.05,-0.891358695652174,3.4801,2.5815217391304346
LFS,2025-10-17,3.4000000953674316,3.24,-0.047058850258691054,-0.03,-0.03,-0.2962962962962963,4.2,1.3487654320987654
LFS,2025-11-11,1.6799999475479126,1.75,0.04166669918904331,0.05,-0.03,-5.565714285714286,11.49,7.137142857142857
LFS,2025-11-18,3.859999895095825,3.85,-0.002590646468288771,0.05,-0.03922077922077927,-0.6649350649350649,6.41,2.277142857142857
LFS,2025-11-20,5.010000228881836,4.74,-0.053892258791791714,0.05,-0.04457805907172996,-0.29324894514767924,6.13,1.8354430379746833
LFS,2026-01-26,2.7039999961853027,2.81,0.03920118489801694,0.06049822064056931,-0.04718861209964409,-0.25622775800711733,3.53,1.3593950177935943
LICN,2025-12-05,2.930000066757202,2.98,0.017064823243548854,0.06040268456375841,-0.06040268456375841,-0.365771812080537,4.07,1.6073825503355705
LIDR,2025-01-02,1.2699999809265137,1.35,0.06299214194879221,0.05,-0.03,-0.31111111111111106,1.77,1.362962962962963
LRMR,2026-02-25,3.690000057220459,3.66,-0.008130096681639887,0.05,-0.03,-0.6229508196721312,5.94,1.7540983606557377
MASK,2026-03-31,1.2400000095367432,1.63,0.31451611892241726,0.05,-0.03,-0.3925766871165644,2.2699,2.0368098159509205
