test_period,ret
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,0.17999999999999997
2023-04-01_2023-07-01,-0.5303361344537816
2023-04-01_2023-07-01,0.17999999999999997
2023-07-01_2023-10-01,0.28
2023-07-01_2023-10-01,-0.2990909090909092
2023-07-01_2023-10-01,0.28
2023-07-01_2023-10-01,-0.25364485981308427
2023-07-01_2023-10-01,0.28
2023-10-01_2024-01-01,0.08000000000000008
2023-10-01_2024-01-01,0.08000000000000008
2023-10-01_2024-01-01,0.08000000000000008
2023-10-01_2024-01-01,0.08000000000000008
2023-10-01_2024-01-01,0.08000000000000008
2024-01-01_2024-04-01,0.08000000000000008
2024-01-01_2024-04-01,0.08000000000000008
2024-01-01_2024-04-01,0.08000000000000008
2024-01-01_2024-04-01,0.08000000000000008
2024-01-01_2024-04-01,0.08000000000000008
2024-04-01_2024-07-01,0.28
2024-04-01_2024-07-01,0.28
2024-04-01_2024-07-01,0.28
2024-04-01_2024-07-01,0.28
2024-04-01_2024-07-01,-0.4403389830508474
2024-07-01_2024-10-01,-0.2472072072072072
2024-07-01_2024-10-01,0.08000000000000008
2024-07-01_2024-10-01,0.08000000000000008
2024-07-01_2024-10-01,0.08000000000000008
2024-07-01_2024-10-01,0.08000000000000008
2024-07-01_2024-10-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,-0.5065718799368089
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2024-10-01_2025-01-01,0.08000000000000008
2025-01-01_2025-04-01,0.17999999999999997
2025-01-01_2025-04-01,0.17999999999999997
2025-01-01_2025-04-01,0.17999999999999997
2025-01-01_2025-04-01,0.17999999999999997
2025-04-01_2025-07-01,-0.021452432824981753
2025-04-01_2025-07-01,0.0955378486055778
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,-0.5540384615384616
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,-0.1778947368421052
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,-0.09079646017699104
2025-04-01_2025-07-01,0.48
2025-04-01_2025-07-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,-0.26361111111111124
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,-0.27205357142857156
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,-0.5948672566371681
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-07-01_2025-10-01,0.48
2025-10-01_2026-01-01,0.28
2026-01-01_2026-04-01,-0.6243801652892562
2026-01-01_2026-04-01,0.08000000000000008
2026-01-01_2026-04-01,0.08000000000000008
2026-01-01_2026-04-01,0.08000000000000008
2026-01-01_2026-04-01,-0.4717307692307692
2026-01-01_2026-04-01,0.08000000000000008
2026-01-01_2026-04-01,-0.45318385650224213
2026-01-01_2026-04-01,0.08000000000000008
2026-01-01_2026-04-01,0.08000000000000008
