symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
AMOD,2026-01-28,1.12,1.21,0.6494133333333333,4110411.433333333,1,1.21,0.4787,0,,0,,0,,0,,0,,1,1.21,0.3278,0,,0,,0,,0,,0,,0,1.21,0.215,0,,0,,0,,0,,0,,0,1.21,0.215,0,,0,,0,,0,,0,
ANNAW,2026-03-30,1.05,1.25,0.3425666,214490.63333333333,1,1.28,0.36,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,,0,1.28,0.2963,0,,0,,0,,0,,0,
GGRP,2024-12-10,1.14,1.15,0.6878183666666667,196324.7,1,7.0,1.7,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.32,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.15,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0,1,7.0,1.47,1,1.0,1,6.0,1,6.0,1,6.0,1,7.0
FLDDW,2025-02-19,1.0601,1.25,0.5861649999999999,197292.9,1,1.25,0.7101,0,,0,,0,,0,,0,,1,1.25,0.6,0,,0,,0,,0,,0,,1,1.25,0.7599,0,,0,,0,,0,,0,,1,1.25,0.305,0,,0,,0,,0,,0,
ATER,2026-04-28,1.11,1.03,0.64492,41593.76666666667,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,,0,1.37,1.04,0,,0,,0,,0,,0,
GOSS,2024-09-20,1.05,1.11,0.8869566666666666,771312.8333333334,1,1.11,0.8737,0,,0,,0,,0,,0,,1,1.11,0.8578,0,,0,,0,,0,,0,,1,1.18,0.9936,0,,0,,0,,0,,0,,1,1.55,1.29,1,102.0,0,,0,,0,,0,
AISPW,2026-06-02,1.05,1.06,0.7353600666666666,30894.2,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,,0,1.1,0.86,0,,0,,0,,0,,0,
ATYR,2026-02-19,1.05,1.05,0.8040099999999999,2246407.3,1,1.1,0.8469,0,,0,,0,,0,,0,,1,1.1,0.504,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,,0,1.1,0.47,0,,0,,0,,0,,0,
AACG,2025-07-21,1.15,1.18,0.8275848666666666,14406.866666666667,1,2.3,2.085,1,7.0,1,8.0,0,,0,,0,,1,2.5794,1.17,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.21,1,7.0,1,8.0,1,40.0,0,,0,,1,2.5794,1.01,1,7.0,1,8.0,1,40.0,0,,0,
APM,2025-04-15,1.08,0.9639,0.8703278333333333,29351.833333333332,1,1.075,0.92,0,,0,,0,,0,,0,,1,1.35,0.9625,0,,0,,0,,0,,0,,1,4.47,2.33,1,62.0,1,62.0,1,62.0,1,62.0,0,,1,4.47,1.07,1,62.0,1,62.0,1,62.0,1,62.0,0,
APM,2026-03-20,1.08,1.1,0.8072533000000001,36322.2,1,1.34,0.84,0,,0,,0,,0,,0,,0,1.39,1.01,0,,0,,0,,0,,0,,0,1.39,1.01,0,,0,,0,,0,,0,,0,1.39,1.01,0,,0,,0,,0,,0,
ADSEW,2025-12-31,1.19,0.9,0.8235557666666669,14257.2,1,1.37,0.81,0,,0,,0,,0,,0,,1,1.37,0.535,0,,0,,0,,0,,0,,0,1.37,0.52,0,,0,,0,,0,,0,,0,1.37,0.52,0,,0,,0,,0,,0,
ESLA,2025-08-29,1.05,1.06,0.8906666666666666,15556.733333333334,1,1.53,1.5,1,22.0,0,,0,,0,,0,,1,3.15,1.81,1,22.0,1,35.0,1,37.0,1,45.0,0,,1,3.15,1.42,1,22.0,1,35.0,1,37.0,1,45.0,0,,1,3.15,1.14,1,22.0,1,35.0,1,37.0,1,45.0,0,
FMSTW,2025-10-24,1.07,1.15,0.5441182999999999,18723.9,1,1.27,1.19,0,,0,,0,,0,,0,,1,1.27,0.868,0,,0,,0,,0,,0,,1,1.27,0.83,0,,0,,0,,0,,0,,0,1.27,0.704249,0,,0,,0,,0,,0,
DVLT,2025-09-26,1.09,1.34,0.41864666666666667,51882509.5,1,4.1,1.69,1,4.0,1,6.0,1,7.0,1,7.0,0,,1,4.1,0.9535,1,4.0,1,6.0,1,7.0,1,7.0,0,,1,4.1,0.6399,1,4.0,1,6.0,1,7.0,1,7.0,0,,0,4.1,0.4294,1,4.0,1,6.0,1,7.0,1,7.0,0,
BFRG,2026-03-30,1.05,1.19,0.5780766666666666,219670.4,1,1.96,0.6206,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,,0,1.96,0.671,1,1.0,0,,0,,0,,0,
FTHM,2026-04-21,1.08,1.1,0.7786883333333333,135263.66666666666,1,1.195,0.5351,0,,0,,0,,0,,0,,0,1.195,0.499,0,,0,,0,,0,,0,,0,1.195,0.499,0,,0,,0,,0,,0,,0,1.195,0.499,0,,0,,0,,0,,0,
ASPSW,2025-07-23,1.15,1.12,0.6550833333333334,39644.333333333336,1,1.28,0.85,0,,0,,0,,0,,0,,1,1.28,0.719,0,,0,,0,,0,,0,,1,1.28,0.5,0,,0,,0,,0,,0,,1,1.28,0.395001,0,,0,,0,,0,,0,
AGRZ,2026-03-12,1.07,0.685,0.40813813333333326,570861.6333333333,1,0.879,0.3993,0,,0,,0,,0,,0,,0,0.879,0.2765,0,,0,,0,,0,,0,,0,0.879,0.2765,0,,0,,0,,0,,0,,0,0.879,0.2765,0,,0,,0,,0,,0,
BFRI,2025-07-23,1.08,1.08,0.72085,196810.5,1,1.17,0.8389,0,,0,,0,,0,,0,,1,1.17,0.99,0,,0,,0,,0,,0,,1,1.19,0.8169,0,,0,,0,,0,,0,,1,1.19,1.03,0,,0,,0,,0,,0,
AEVAW,2025-06-27,1.0655,1.2,0.26070179999999993,88069.66666666667,1,1.215,0.333,0,,0,,0,,0,,0,,1,1.215,0.34,0,,0,,0,,0,,0,,1,1.215,0.15,0,,0,,0,,0,,0,,0,1.215,0.0059,0,,0,,0,,0,,0,
CLPS,2024-08-23,1.06,1.04,0.8424800666666667,13152.866666666667,1,1.5,1.45,1,27.0,0,,0,,0,,0,,1,1.7,1.155,1,27.0,0,,0,,0,,0,,1,1.7,1.1601,1,27.0,0,,0,,0,,0,,1,1.7,0.939,1,27.0,0,,0,,0,,0,
CGTX,2025-08-12,1.1,1.38,0.6375366666666665,14150193.566666666,1,3.83,1.35,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.69,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.5,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.26,1,2.0,1,6.0,1,8.0,1,9.0,0,
